id,user_id,action,table_name,record_id,old_value,new_value
1,112,create,debt,19,,(dữ liệu synthetic - minh hoạ)
2,108,update,sales_order,20,,(dữ liệu synthetic - minh hoạ)
3,109,create,customer,9,,(dữ liệu synthetic - minh hoạ)
4,110,update,debt,1,,(dữ liệu synthetic - minh hoạ)
5,106,create,cost,3,,(dữ liệu synthetic - minh hoạ)
6,105,delete,sales_order,3,,(dữ liệu synthetic - minh hoạ)
7,117,create,cost,14,,(dữ liệu synthetic - minh hoạ)
8,115,update,customer,12,,(dữ liệu synthetic - minh hoạ)
9,110,delete,debt,25,,(dữ liệu synthetic - minh hoạ)
10,119,delete,sales_order,29,,(dữ liệu synthetic - minh hoạ)
11,102,create,customer,25,,(dữ liệu synthetic - minh hoạ)
12,120,create,sales_order,9,,(dữ liệu synthetic - minh hoạ)
13,115,delete,cost,16,,(dữ liệu synthetic - minh hoạ)
14,120,update,cost,9,,(dữ liệu synthetic - minh hoạ)
15,107,delete,sales_order,12,,(dữ liệu synthetic - minh hoạ)
16,114,create,debt,22,,(dữ liệu synthetic - minh hoạ)
17,119,update,debt,2,,(dữ liệu synthetic - minh hoạ)
18,108,update,sales_order,1,,(dữ liệu synthetic - minh hoạ)
19,107,update,customer,25,,(dữ liệu synthetic - minh hoạ)
20,105,update,debt,11,,(dữ liệu synthetic - minh hoạ)
21,104,create,cost,24,,(dữ liệu synthetic - minh hoạ)
22,114,create,customer,13,,(dữ liệu synthetic - minh hoạ)
23,118,delete,customer,17,,(dữ liệu synthetic - minh hoạ)
24,118,delete,debt,3,,(dữ liệu synthetic - minh hoạ)
25,113,delete,sales_order,14,,(dữ liệu synthetic - minh hoạ)
26,101,update,sales_order,28,,(dữ liệu synthetic - minh hoạ)
27,111,delete,cost,19,,(dữ liệu synthetic - minh hoạ)
28,113,delete,cost,10,,(dữ liệu synthetic - minh hoạ)
29,104,update,sales_order,11,,(dữ liệu synthetic - minh hoạ)
30,106,delete,cost,27,,(dữ liệu synthetic - minh hoạ)
