id,division_id,period,amount
1,1,2026-03-01,722008857.02
2,1,2026-04-01,852361810.97
3,1,2026-05-01,660986052.2
4,1,2026-06-01,264521819.35
5,1,2026-07-01,785332266.02
6,1,2026-08-01,824994871.68
7,2,2026-03-01,653372889.22
8,2,2026-04-01,784176302.92
9,2,2026-05-01,372633509.56
10,2,2026-06-01,613274688.69
11,2,2026-07-01,559560583.09
12,2,2026-08-01,444709600.71
13,3,2026-03-01,947861832.45
14,3,2026-04-01,555119490.95
15,3,2026-05-01,819971461.18
16,3,2026-06-01,928338665.25
17,3,2026-07-01,579007276.47
18,3,2026-08-01,535843665.4
19,4,2026-03-01,474740779.17
20,4,2026-04-01,323219919.21
21,4,2026-05-01,362577396.86
22,4,2026-06-01,538151562.85
23,4,2026-07-01,596828314.68
24,4,2026-08-01,713808475.89
25,5,2026-03-01,530316578.37
26,5,2026-04-01,782349840.44
27,5,2026-05-01,275687991.22
28,5,2026-06-01,311641854.94
29,5,2026-07-01,426679195.66
30,5,2026-08-01,331145121.0
