id,code,name,source,current_classification
1,KHDEMO0001,Công ty TNHH Khách Hàng Demo 01,Website,C
2,KHDEMO0002,Công ty TNHH Khách Hàng Demo 02,Sales tự tìm,C
3,KHDEMO0003,Công ty TNHH Khách Hàng Demo 03,Hội chợ triển lãm,C
4,KHDEMO0004,Công ty TNHH Khách Hàng Demo 04,Hội chợ triển lãm,B
5,KHDEMO0005,Công ty TNHH Khách Hàng Demo 05,Website,B
6,KHDEMO0006,Công ty TNHH Khách Hàng Demo 06,Giới thiệu,C
7,KHDEMO0007,Công ty TNHH Khách Hàng Demo 07,Giới thiệu,A
8,KHDEMO0008,Công ty TNHH Khách Hàng Demo 08,Website,C
9,KHDEMO0009,Công ty TNHH Khách Hàng Demo 09,Hội chợ triển lãm,B
10,KHDEMO0010,Công ty TNHH Khách Hàng Demo 10,Hội chợ triển lãm,B
11,KHDEMO0011,Công ty TNHH Khách Hàng Demo 11,Hội chợ triển lãm,B
12,KHDEMO0012,Công ty TNHH Khách Hàng Demo 12,Giới thiệu,B
13,KHDEMO0013,Công ty TNHH Khách Hàng Demo 13,Giới thiệu,B
14,KHDEMO0014,Công ty TNHH Khách Hàng Demo 14,Sales tự tìm,C
15,KHDEMO0015,Công ty TNHH Khách Hàng Demo 15,Sales tự tìm,A
16,KHDEMO0016,Công ty TNHH Khách Hàng Demo 16,Hội chợ triển lãm,A
17,KHDEMO0017,Công ty TNHH Khách Hàng Demo 17,Giới thiệu,C
18,KHDEMO0018,Công ty TNHH Khách Hàng Demo 18,Sales tự tìm,C
19,KHDEMO0019,Công ty TNHH Khách Hàng Demo 19,Website,B
20,KHDEMO0020,Công ty TNHH Khách Hàng Demo 20,Giới thiệu,C
21,KHDEMO0021,Công ty TNHH Khách Hàng Demo 21,Sales tự tìm,C
22,KHDEMO0022,Công ty TNHH Khách Hàng Demo 22,Website,A
23,KHDEMO0023,Công ty TNHH Khách Hàng Demo 23,Website,B
24,KHDEMO0024,Công ty TNHH Khách Hàng Demo 24,Giới thiệu,B
25,KHDEMO0025,Công ty TNHH Khách Hàng Demo 25,Hội chợ triển lãm,A
26,KHDEMO0026,Công ty TNHH Khách Hàng Demo 26,Sales tự tìm,C
27,KHDEMO0027,Công ty TNHH Khách Hàng Demo 27,Sales tự tìm,B
28,KHDEMO0028,Công ty TNHH Khách Hàng Demo 28,Website,C
29,KHDEMO0029,Công ty TNHH Khách Hàng Demo 29,Giới thiệu,A
30,KHDEMO0030,Công ty TNHH Khách Hàng Demo 30,Hội chợ triển lãm,C
