id,customer_id,classification,snapshot_date
1,1,B,2026-08-01
2,2,A,2026-07-01
3,3,A,2026-08-01
4,4,A,2026-06-01
5,5,C,2026-08-01
6,6,A,2026-07-01
7,7,A,2026-08-01
8,8,C,2026-07-01
9,9,B,2026-05-01
10,10,C,2026-07-01
11,11,C,2026-07-01
12,12,C,2026-08-01
13,13,A,2026-07-01
14,14,B,2026-06-01
15,15,C,2026-05-01
16,16,C,2026-07-01
17,17,C,2026-06-01
18,18,C,2026-05-01
19,19,C,2026-08-01
20,20,C,2026-07-01
21,21,A,2026-08-01
22,22,A,2026-06-01
23,23,B,2026-05-01
24,24,A,2026-08-01
25,25,A,2026-05-01
26,26,B,2026-06-01
27,27,B,2026-08-01
28,28,C,2026-08-01
29,29,B,2026-06-01
30,30,B,2026-05-01
31,20,B,2026-08-01
32,15,B,2026-06-01
33,4,C,2026-07-01
34,29,A,2026-07-01
35,7,B,2026-05-01
36,3,C,2026-06-01
37,21,A,2026-05-01
38,26,A,2026-07-01
39,5,A,2026-06-01
40,27,C,2026-06-01
