id,staff_group,period,amount
1,LĐ,2026-03-01,221513409.41
2,LĐ,2026-04-01,169010103.18
3,LĐ,2026-05-01,399022551.98
4,LĐ,2026-06-01,219483195.86
5,LĐ,2026-07-01,340558382.25
6,LĐ,2026-08-01,390097675.54
7,QL,2026-03-01,230403326.39
8,QL,2026-04-01,210671389.9
9,QL,2026-05-01,182738641.91
10,QL,2026-06-01,113471963.07
11,QL,2026-07-01,131463952.85
12,QL,2026-08-01,211726428.73
13,Frontline,2026-03-01,238550086.71
14,Frontline,2026-04-01,292026731.84
15,Frontline,2026-05-01,208144721.54
16,Frontline,2026-06-01,323359927.06
17,Frontline,2026-07-01,91743081.7
18,Frontline,2026-08-01,108179133.69
19,Middle,2026-03-01,160767632.3
20,Middle,2026-04-01,117094912.46
21,Middle,2026-05-01,327215336.33
22,Middle,2026-06-01,356771386.9
23,Middle,2026-07-01,343976705.05
24,Middle,2026-08-01,80368341.58
25,Backend,2026-03-01,358197594.98
26,Backend,2026-04-01,227832430.39
27,Backend,2026-05-01,97345307.32
28,Backend,2026-06-01,245900605.59
29,Backend,2026-07-01,279242839.23
30,Backend,2026-08-01,239517792.76
