id,supplier_id,service_id,employee_id,period,score,notes
1,8,3,6,2026-06-01,52.73,
2,13,3,11,2026-05-01,92.82,
3,12,3,18,2026-03-01,71.0,Đánh giá định kỳ (dữ liệu synthetic)
4,4,1,8,2026-08-01,64.39,
5,9,2,23,2026-06-01,78.75,
6,8,4,26,2026-03-01,45.58,Đánh giá định kỳ (dữ liệu synthetic)
7,4,4,23,2026-04-01,58.37,
8,10,3,16,2026-07-01,71.86,
9,7,6,18,2026-05-01,61.11,Đánh giá định kỳ (dữ liệu synthetic)
10,8,3,10,2026-05-01,53.83,
11,12,2,11,2026-03-01,84.57,
12,13,6,6,2026-04-01,52.98,Đánh giá định kỳ (dữ liệu synthetic)
13,8,3,24,2026-07-01,98.6,
14,9,5,10,2026-03-01,89.96,
15,5,2,12,2026-04-01,58.14,Đánh giá định kỳ (dữ liệu synthetic)
16,12,5,5,2026-05-01,42.73,
17,1,5,10,2026-08-01,96.65,
18,11,4,4,2026-03-01,74.44,Đánh giá định kỳ (dữ liệu synthetic)
19,8,4,15,2026-05-01,51.06,
20,1,3,28,2026-06-01,46.85,
21,2,4,16,2026-03-01,74.62,Đánh giá định kỳ (dữ liệu synthetic)
22,11,1,5,2026-04-01,88.67,
23,5,1,8,2026-03-01,73.48,
24,7,5,20,2026-07-01,53.54,Đánh giá định kỳ (dữ liệu synthetic)
25,9,4,15,2026-06-01,57.84,
